==113054== NVPROF is profiling process 113054, command: ./gpu3 15 16384 2048 32
kernel completed, verifying


Success:
 N	Teams	TeamS	VL	ele/VL	exec_time(s)	FLOPS
15	2048	32	8	1	0.000275	4.015007e+11

==113054== Profiling application: ./gpu3 15 16384 2048 32
==113054== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.68537s  107.58us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [607]
1.68550s  251.13us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [620]
1.72077s  3.3650ms                    -               -         -         -         -  28.125MB  8.1622GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.72427s  3.3612ms                    -               -         -         -         -  28.125MB  8.1715GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.72769s  107.65us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [639]
1.72782s  252.29us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [652]
1.76619s  3.3807ms                    -               -         -         -         -  28.125MB  8.1243GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.76971s  3.4053ms                    -               -         -         -         -  28.125MB  8.0657GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.77317s  108.06us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [671]
1.77331s  253.37us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [684]
